date,impact of oil prices
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,11
2020-08-30,7
2020-09-06,11
2020-09-13,10
2020-09-20,13
2020-09-27,9
2020-10-04,9
2020-10-11,9
2020-10-18,0
2020-10-25,0
2020-11-01,10
2020-11-08,0
2020-11-15,0
2020-11-22,8
2020-11-29,8
2020-12-06,13
2020-12-13,10
2020-12-20,7
2020-12-27,0
2021-01-03,7
2021-01-10,10
2021-01-17,10
2021-01-24,7
2021-01-31,11
2021-02-07,9
2021-02-14,10
2021-02-21,11
2021-02-28,7
2021-03-07,13
2021-03-14,11
2021-03-21,15
2021-03-28,10
2021-04-04,14
2021-04-11,12
2021-04-18,13
2021-04-25,10
2021-05-02,0
2021-05-09,13
2021-05-16,12
2021-05-23,7
2021-05-30,8
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,7
2021-07-04,10
2021-07-11,8
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,8
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,7
2021-09-19,0
2021-09-26,8
2021-10-03,0
2021-10-10,9
2021-10-17,15
2021-10-24,8
2021-10-31,11
2021-11-07,10
2021-11-14,10
2021-11-21,8
2021-11-28,17
2021-12-05,12
2021-12-12,11
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,13
2022-01-16,9
2022-01-23,20
2022-01-30,11
2022-02-06,14
2022-02-13,15
2022-02-20,24
2022-02-27,35
2022-03-06,45
2022-03-13,30
2022-03-20,35
2022-03-27,28
2022-04-03,28
2022-04-10,21
2022-04-17,23
2022-04-24,27
2022-05-01,16
2022-05-08,20
2022-05-15,18
2022-05-22,20
2022-05-29,21
2022-06-05,24
2022-06-12,20
2022-06-19,17
2022-06-26,12
2022-07-03,10
2022-07-10,11
2022-07-17,9
2022-07-24,10
2022-07-31,8
2022-08-07,11
2022-08-14,10
2022-08-21,10
2022-08-28,9
2022-09-04,8
2022-09-11,16
2022-09-18,14
2022-09-25,14
2022-10-02,16
2022-10-09,16
2022-10-16,16
2022-10-23,18
2022-10-30,16
2022-11-06,18
2022-11-13,14
2022-11-20,13
2022-11-27,14
2022-12-04,14
2022-12-11,13
2022-12-18,12
2022-12-25,10
2023-01-01,11
2023-01-08,12
2023-01-15,14
2023-01-22,14
2023-01-29,16
2023-02-05,22
2023-02-12,10
2023-02-19,16
2023-02-26,22
2023-03-05,15
2023-03-12,17
2023-03-19,13
2023-03-26,16
2023-04-02,19
2023-04-09,21
2023-04-16,15
2023-04-23,12
2023-04-30,23
2023-05-07,14
2023-05-14,16
2023-05-21,7
2023-05-28,5
2023-06-04,7
2023-06-11,9
2023-06-18,6
2023-06-25,0
2023-07-02,6
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,8
2023-08-06,9
2023-08-13,0
2023-08-20,7
2023-08-27,10
2023-09-03,17
2023-09-10,14
2023-09-17,19
2023-09-24,13
2023-10-01,11
2023-10-08,25
2023-10-15,17
2023-10-22,15
2023-10-29,15
2023-11-05,18
2023-11-12,16
2023-11-19,8
2023-11-26,17
2023-12-03,12
2023-12-10,12
2023-12-17,10
2023-12-24,8
2023-12-31,11
2024-01-07,8
2024-01-14,13
2024-01-21,11
2024-01-28,17
2024-02-04,13
2024-02-11,22
2024-02-18,14
2024-02-25,16
2024-03-03,17
2024-03-10,16
2024-03-17,15
2024-03-24,16
2024-03-31,14
2024-04-07,23
2024-04-14,22
2024-04-21,19
2024-04-28,16
2024-05-05,9
2024-05-12,14
2024-05-19,15
2024-05-26,9
2024-06-02,12
2024-06-09,0
2024-06-16,9
2024-06-23,8
2024-06-30,0
2024-07-07,0
2024-07-14,7
2024-07-21,9
2024-07-28,12
2024-08-04,8
2024-08-11,0
2024-08-18,11
2024-08-25,7
2024-09-01,11
2024-09-08,14
2024-09-15,13
2024-09-22,16
2024-09-29,21
2024-10-06,21
2024-10-13,21
2024-10-20,14
2024-10-27,16
2024-11-03,16
2024-11-10,19
2024-11-17,15
2024-11-24,10
2024-12-01,14
2024-12-08,14
2024-12-15,16
2024-12-22,0
2024-12-29,0
2025-01-05,10
2025-01-12,14
2025-01-19,15
2025-01-26,19
2025-02-02,22
2025-02-09,30
2025-02-16,30
2025-02-23,23
2025-03-02,15
2025-03-09,17
2025-03-16,15
2025-03-23,24
2025-03-30,23
2025-04-06,33
2025-04-13,20
2025-04-20,19
2025-04-27,30
2025-05-04,28
2025-05-11,20
2025-05-18,21
2025-05-25,14
2025-06-01,21
2025-06-08,56
2025-06-15,68
2025-06-22,100
2025-06-29,31
2025-07-06,22
2025-07-13,24
2025-07-20,19
2025-07-27,58
