date,mental health
2020-08-02,45
2020-08-09,45
2020-08-16,47
2020-08-23,47
2020-08-30,50
2020-09-06,51
2020-09-13,55
2020-09-20,55
2020-09-27,56
2020-10-04,88
2020-10-11,64
2020-10-18,55
2020-10-25,50
2020-11-01,49
2020-11-08,50
2020-11-15,49
2020-11-22,43
2020-11-29,48
2020-12-06,48
2020-12-13,42
2020-12-20,31
2020-12-27,33
2021-01-03,43
2021-01-10,48
2021-01-17,48
2021-01-24,53
2021-01-31,57
2021-02-07,52
2021-02-14,49
2021-02-21,51
2021-02-28,50
2021-03-07,53
2021-03-14,53
2021-03-21,53
2021-03-28,48
2021-04-04,50
2021-04-11,51
2021-04-18,53
2021-04-25,56
2021-05-02,62
2021-05-09,68
2021-05-16,59
2021-05-23,50
2021-05-30,50
2021-06-06,48
2021-06-13,49
2021-06-20,48
2021-06-27,46
2021-07-04,43
2021-07-11,52
2021-07-18,48
2021-07-25,50
2021-08-01,47
2021-08-08,44
2021-08-15,47
2021-08-22,49
2021-08-29,47
2021-09-05,50
2021-09-12,58
2021-09-19,56
2021-09-26,57
2021-10-03,69
2021-10-10,81
2021-10-17,60
2021-10-24,57
2021-10-31,59
2021-11-07,62
2021-11-14,60
2021-11-21,51
2021-11-28,58
2021-12-05,57
2021-12-12,51
2021-12-19,37
2021-12-26,38
2022-01-02,50
2022-01-09,54
2022-01-16,54
2022-01-23,59
2022-01-30,62
2022-02-06,63
2022-02-13,65
2022-02-20,63
2022-02-27,66
2022-03-06,65
2022-03-13,64
2022-03-20,64
2022-03-27,69
2022-04-03,67
2022-04-10,61
2022-04-17,67
2022-04-24,74
2022-05-01,81
2022-05-08,73
2022-05-15,65
2022-05-22,62
2022-05-29,55
2022-06-05,56
2022-06-12,57
2022-06-19,54
2022-06-26,54
2022-07-03,48
2022-07-10,51
2022-07-17,50
2022-07-24,50
2022-07-31,49
2022-08-07,50
2022-08-14,50
2022-08-21,55
2022-08-28,50
2022-09-04,56
2022-09-11,61
2022-09-18,61
2022-09-25,66
2022-10-02,69
2022-10-09,100
2022-10-16,68
2022-10-23,65
2022-10-30,63
2022-11-06,65
2022-11-13,65
2022-11-20,51
2022-11-27,67
2022-12-04,61
2022-12-11,59
2022-12-18,42
2022-12-25,37
2023-01-01,50
2023-01-08,63
2023-01-15,59
2023-01-22,68
2023-01-29,63
2023-02-05,67
2023-02-12,61
2023-02-19,64
2023-02-26,65
2023-03-05,63
2023-03-12,61
2023-03-19,66
2023-03-26,66
2023-04-02,58
2023-04-09,61
2023-04-16,63
2023-04-23,65
2023-04-30,73
2023-05-07,67
2023-05-14,67
2023-05-21,62
2023-05-28,57
2023-06-04,62
2023-06-11,58
2023-06-18,54
2023-06-25,53
2023-07-02,50
2023-07-09,53
2023-07-16,51
2023-07-23,52
2023-07-30,52
2023-08-06,50
2023-08-13,52
2023-08-20,53
2023-08-27,55
2023-09-03,58
2023-09-10,62
2023-09-17,60
2023-09-24,63
2023-10-01,71
2023-10-08,98
2023-10-15,63
2023-10-22,63
2023-10-29,63
2023-11-05,69
2023-11-12,64
2023-11-19,55
2023-11-26,67
2023-12-03,63
2023-12-10,57
2023-12-17,45
2023-12-24,35
2023-12-31,48
2024-01-07,59
2024-01-14,58
2024-01-21,61
2024-01-28,67
2024-02-04,70
2024-02-11,65
2024-02-18,66
2024-02-25,72
2024-03-03,68
2024-03-10,65
2024-03-17,68
2024-03-24,61
2024-03-31,65
2024-04-07,66
2024-04-14,69
2024-04-21,71
2024-04-28,74
2024-05-05,72
2024-05-12,72
2024-05-19,63
2024-05-26,60
2024-06-02,68
2024-06-09,59
2024-06-16,57
2024-06-23,53
2024-06-30,50
2024-07-07,57
2024-07-14,55
2024-07-21,56
2024-07-28,55
2024-08-04,55
2024-08-11,59
2024-08-18,59
2024-08-25,58
2024-09-01,60
2024-09-08,69
2024-09-15,69
2024-09-22,67
2024-09-29,70
2024-10-06,97
2024-10-13,71
2024-10-20,70
2024-10-27,69
2024-11-03,69
2024-11-10,75
2024-11-17,72
2024-11-24,58
2024-12-01,70
2024-12-08,67
2024-12-15,54
2024-12-22,36
2024-12-29,46
2025-01-05,63
2025-01-12,66
2025-01-19,66
2025-01-26,70
2025-02-02,71
2025-02-09,69
2025-02-16,76
2025-02-23,72
2025-03-02,70
2025-03-09,67
2025-03-16,73
2025-03-23,70
2025-03-30,73
2025-04-06,68
2025-04-13,65
2025-04-20,69
2025-04-27,78
2025-05-04,81
2025-05-11,74
2025-05-18,69
2025-05-25,64
2025-06-01,84
2025-06-08,75
2025-06-15,69
2025-06-22,70
2025-06-29,64
2025-07-06,67
2025-07-13,68
2025-07-20,80
2025-07-27,75
