date,new iPhone Pro Max release date
2020-08-02,16
2020-08-09,17
2020-08-16,17
2020-08-23,13
2020-08-30,19
2020-09-06,22
2020-09-13,33
2020-09-20,18
2020-09-27,23
2020-10-04,24
2020-10-11,60
2020-10-18,43
2020-10-25,28
2020-11-01,46
2020-11-08,29
2020-11-15,16
2020-11-22,11
2020-11-29,10
2020-12-06,9
2020-12-13,0
2020-12-20,0
2020-12-27,16
2021-01-03,0
2021-01-10,12
2021-01-17,0
2021-01-24,10
2021-01-31,12
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,9
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,11
2021-04-04,9
2021-04-11,0
2021-04-18,9
2021-04-25,12
2021-05-02,10
2021-05-09,12
2021-05-16,10
2021-05-23,0
2021-05-30,12
2021-06-06,0
2021-06-13,16
2021-06-20,11
2021-06-27,12
2021-07-04,12
2021-07-11,14
2021-07-18,11
2021-07-25,11
2021-08-01,0
2021-08-08,16
2021-08-15,15
2021-08-22,22
2021-08-29,27
2021-09-05,27
2021-09-12,53
2021-09-19,37
2021-09-26,20
2021-10-03,13
2021-10-10,16
2021-10-17,11
2021-10-24,0
2021-10-31,0
2021-11-07,11
2021-11-14,0
2021-11-21,9
2021-11-28,16
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,16
2022-01-02,14
2022-01-09,0
2022-01-16,12
2022-01-23,0
2022-01-30,0
2022-02-06,13
2022-02-13,9
2022-02-20,12
2022-02-27,10
2022-03-06,20
2022-03-13,16
2022-03-20,11
2022-03-27,9
2022-04-03,7
2022-04-10,13
2022-04-17,14
2022-04-24,15
2022-05-01,15
2022-05-08,10
2022-05-15,10
2022-05-22,11
2022-05-29,16
2022-06-05,12
2022-06-12,18
2022-06-19,18
2022-06-26,17
2022-07-03,29
2022-07-10,24
2022-07-17,22
2022-07-24,17
2022-07-31,23
2022-08-07,38
2022-08-14,31
2022-08-21,34
2022-08-28,37
2022-09-04,94
2022-09-11,51
2022-09-18,29
2022-09-25,15
2022-10-02,15
2022-10-09,10
2022-10-16,12
2022-10-23,9
2022-10-30,13
2022-11-06,7
2022-11-13,8
2022-11-20,8
2022-11-27,9
2022-12-04,13
2022-12-11,9
2022-12-18,10
2022-12-25,15
2023-01-01,11
2023-01-08,8
2023-01-15,11
2023-01-22,10
2023-01-29,8
2023-02-05,11
2023-02-12,11
2023-02-19,15
2023-02-26,8
2023-03-05,11
2023-03-12,11
2023-03-19,11
2023-03-26,9
2023-04-02,12
2023-04-09,8
2023-04-16,0
2023-04-23,8
2023-04-30,13
2023-05-07,12
2023-05-14,11
2023-05-21,15
2023-05-28,11
2023-06-04,12
2023-06-11,15
2023-06-18,14
2023-06-25,20
2023-07-02,22
2023-07-09,23
2023-07-16,17
2023-07-23,22
2023-07-30,22
2023-08-06,27
2023-08-13,30
2023-08-20,24
2023-08-27,54
2023-09-03,63
2023-09-10,91
2023-09-17,47
2023-09-24,26
2023-10-01,9
2023-10-08,13
2023-10-15,14
2023-10-22,0
2023-10-29,8
2023-11-05,0
2023-11-12,11
2023-11-19,11
2023-11-26,12
2023-12-03,12
2023-12-10,8
2023-12-17,10
2023-12-24,0
2023-12-31,16
2024-01-07,0
2024-01-14,9
2024-01-21,16
2024-01-28,11
2024-02-04,0
2024-02-11,13
2024-02-18,9
2024-02-25,11
2024-03-03,9
2024-03-10,0
2024-03-17,11
2024-03-24,0
2024-03-31,14
2024-04-07,24
2024-04-14,11
2024-04-21,14
2024-04-28,0
2024-05-05,17
2024-05-12,19
2024-05-19,16
2024-05-26,19
2024-06-02,15
2024-06-09,13
2024-06-16,15
2024-06-23,14
2024-06-30,14
2024-07-07,25
2024-07-14,31
2024-07-21,26
2024-07-28,22
2024-08-04,33
2024-08-11,37
2024-08-18,39
2024-08-25,43
2024-09-01,62
2024-09-08,96
2024-09-15,56
2024-09-22,40
2024-09-29,15
2024-10-06,14
2024-10-13,17
2024-10-20,17
2024-10-27,10
2024-11-03,0
2024-11-10,11
2024-11-17,10
2024-11-24,0
2024-12-01,13
2024-12-08,10
2024-12-15,9
2024-12-22,13
2024-12-29,20
2025-01-05,9
2025-01-12,12
2025-01-19,11
2025-01-26,12
2025-02-02,13
2025-02-09,11
2025-02-16,10
2025-02-23,12
2025-03-02,13
2025-03-09,10
2025-03-16,14
2025-03-23,11
2025-03-30,0
2025-04-06,9
2025-04-13,14
2025-04-20,21
2025-04-27,0
2025-05-04,14
2025-05-11,12
2025-05-18,12
2025-05-25,12
2025-06-01,16
2025-06-08,29
2025-06-15,17
2025-06-22,17
2025-06-29,15
2025-07-06,22
2025-07-13,34
2025-07-20,59
2025-07-27,100
