date,oil prices forecast
2020-08-02,14
2020-08-09,16
2020-08-16,21
2020-08-23,21
2020-08-30,23
2020-09-06,21
2020-09-13,20
2020-09-20,21
2020-09-27,21
2020-10-04,24
2020-10-11,17
2020-10-18,21
2020-10-25,16
2020-11-01,15
2020-11-08,20
2020-11-15,15
2020-11-22,23
2020-11-29,17
2020-12-06,15
2020-12-13,14
2020-12-20,15
2020-12-27,19
2021-01-03,20
2021-01-10,22
2021-01-17,23
2021-01-24,23
2021-01-31,24
2021-02-07,25
2021-02-14,20
2021-02-21,23
2021-02-28,27
2021-03-07,21
2021-03-14,22
2021-03-21,18
2021-03-28,12
2021-04-04,17
2021-04-11,17
2021-04-18,10
2021-04-25,11
2021-05-02,11
2021-05-09,19
2021-05-16,16
2021-05-23,9
2021-05-30,12
2021-06-06,14
2021-06-13,15
2021-06-20,9
2021-06-27,12
2021-07-04,14
2021-07-11,14
2021-07-18,14
2021-07-25,14
2021-08-01,14
2021-08-08,11
2021-08-15,11
2021-08-22,14
2021-08-29,14
2021-09-05,18
2021-09-12,14
2021-09-19,10
2021-09-26,20
2021-10-03,23
2021-10-10,26
2021-10-17,24
2021-10-24,23
2021-10-31,18
2021-11-07,22
2021-11-14,20
2021-11-21,14
2021-11-28,22
2021-12-05,17
2021-12-12,16
2021-12-19,16
2021-12-26,8
2022-01-02,14
2022-01-09,13
2022-01-16,18
2022-01-23,22
2022-01-30,18
2022-02-06,21
2022-02-13,24
2022-02-20,35
2022-02-27,45
2022-03-06,100
2022-03-13,54
2022-03-20,34
2022-03-27,29
2022-04-03,26
2022-04-10,23
2022-04-17,20
2022-04-24,22
2022-05-01,25
2022-05-08,25
2022-05-15,26
2022-05-22,25
2022-05-29,29
2022-06-05,40
2022-06-12,29
2022-06-19,48
2022-06-26,24
2022-07-03,42
2022-07-10,51
2022-07-17,38
2022-07-24,35
2022-07-31,37
2022-08-07,41
2022-08-14,44
2022-08-21,35
2022-08-28,40
2022-09-04,28
2022-09-11,27
2022-09-18,32
2022-09-25,32
2022-10-02,42
2022-10-09,30
2022-10-16,24
2022-10-23,26
2022-10-30,20
2022-11-06,19
2022-11-13,24
2022-11-20,27
2022-11-27,20
2022-12-04,29
2022-12-11,25
2022-12-18,23
2022-12-25,21
2023-01-01,20
2023-01-08,26
2023-01-15,18
2023-01-22,17
2023-01-29,19
2023-02-05,15
2023-02-12,23
2023-02-19,19
2023-02-26,18
2023-03-05,22
2023-03-12,20
2023-03-19,27
2023-03-26,17
2023-04-02,25
2023-04-09,17
2023-04-16,18
2023-04-23,18
2023-04-30,11
2023-05-07,17
2023-05-14,15
2023-05-21,20
2023-05-28,15
2023-06-04,13
2023-06-11,22
2023-06-18,10
2023-06-25,14
2023-07-02,16
2023-07-09,18
2023-07-16,19
2023-07-23,17
2023-07-30,16
2023-08-06,21
2023-08-13,22
2023-08-20,15
2023-08-27,21
2023-09-03,22
2023-09-10,15
2023-09-17,26
2023-09-24,25
2023-10-01,24
2023-10-08,28
2023-10-15,22
2023-10-22,18
2023-10-29,19
2023-11-05,16
2023-11-12,19
2023-11-19,14
2023-11-26,20
2023-12-03,20
2023-12-10,18
2023-12-17,21
2023-12-24,10
2023-12-31,16
2024-01-07,20
2024-01-14,17
2024-01-21,17
2024-01-28,11
2024-02-04,12
2024-02-11,16
2024-02-18,9
2024-02-25,13
2024-03-03,6
2024-03-10,15
2024-03-17,15
2024-03-24,10
2024-03-31,10
2024-04-07,13
2024-04-14,18
2024-04-21,14
2024-04-28,15
2024-05-05,8
2024-05-12,14
2024-05-19,13
2024-05-26,0
2024-06-02,14
2024-06-09,15
2024-06-16,12
2024-06-23,14
2024-06-30,10
2024-07-07,9
2024-07-14,11
2024-07-21,9
2024-07-28,11
2024-08-04,13
2024-08-11,0
2024-08-18,15
2024-08-25,12
2024-09-01,10
2024-09-08,17
2024-09-15,12
2024-09-22,11
2024-09-29,23
2024-10-06,22
2024-10-13,11
2024-10-20,13
2024-10-27,20
2024-11-03,14
2024-11-10,13
2024-11-17,13
2024-11-24,10
2024-12-01,15
2024-12-08,14
2024-12-15,0
2024-12-22,0
2024-12-29,11
2025-01-05,9
2025-01-12,17
2025-01-19,19
2025-01-26,14
2025-02-02,18
2025-02-09,15
2025-02-16,14
2025-02-23,9
2025-03-02,16
2025-03-09,9
2025-03-16,8
2025-03-23,7
2025-03-30,18
2025-04-06,29
2025-04-13,14
2025-04-20,12
2025-04-27,11
2025-05-04,14
2025-05-11,11
2025-05-18,13
2025-05-25,11
2025-06-01,8
2025-06-08,23
2025-06-15,34
2025-06-22,53
2025-06-29,12
2025-07-06,16
2025-07-13,18
2025-07-20,32
2025-07-27,63
