date,real estate market forecast
2020-08-02,18
2020-08-09,18
2020-08-16,19
2020-08-23,18
2020-08-30,16
2020-09-06,19
2020-09-13,19
2020-09-20,18
2020-09-27,15
2020-10-04,21
2020-10-11,15
2020-10-18,13
2020-10-25,16
2020-11-01,12
2020-11-08,11
2020-11-15,14
2020-11-22,11
2020-11-29,13
2020-12-06,18
2020-12-13,17
2020-12-20,17
2020-12-27,17
2021-01-03,20
2021-01-10,23
2021-01-17,19
2021-01-24,24
2021-01-31,22
2021-02-07,20
2021-02-14,24
2021-02-21,22
2021-02-28,20
2021-03-07,16
2021-03-14,24
2021-03-21,19
2021-03-28,22
2021-04-04,24
2021-04-11,20
2021-04-18,17
2021-04-25,16
2021-05-02,16
2021-05-09,23
2021-05-16,17
2021-05-23,15
2021-05-30,20
2021-06-06,14
2021-06-13,17
2021-06-20,15
2021-06-27,20
2021-07-04,20
2021-07-11,12
2021-07-18,18
2021-07-25,17
2021-08-01,20
2021-08-08,12
2021-08-15,19
2021-08-22,15
2021-08-29,17
2021-09-05,23
2021-09-12,16
2021-09-19,14
2021-09-26,16
2021-10-03,14
2021-10-10,21
2021-10-17,19
2021-10-24,22
2021-10-31,16
2021-11-07,17
2021-11-14,15
2021-11-21,15
2021-11-28,13
2021-12-05,16
2021-12-12,17
2021-12-19,19
2021-12-26,22
2022-01-02,16
2022-01-09,24
2022-01-16,22
2022-01-23,16
2022-01-30,16
2022-02-06,16
2022-02-13,19
2022-02-20,16
2022-02-27,12
2022-03-06,21
2022-03-13,20
2022-03-20,27
2022-03-27,20
2022-04-03,26
2022-04-10,18
2022-04-17,21
2022-04-24,17
2022-05-01,21
2022-05-08,15
2022-05-15,17
2022-05-22,13
2022-05-29,20
2022-06-05,18
2022-06-12,19
2022-06-19,19
2022-06-26,16
2022-07-03,15
2022-07-10,23
2022-07-17,18
2022-07-24,19
2022-07-31,24
2022-08-07,23
2022-08-14,14
2022-08-21,16
2022-08-28,16
2022-09-04,17
2022-09-11,18
2022-09-18,20
2022-09-25,15
2022-10-02,21
2022-10-09,17
2022-10-16,13
2022-10-23,15
2022-10-30,17
2022-11-06,17
2022-11-13,19
2022-11-20,14
2022-11-27,20
2022-12-04,16
2022-12-11,17
2022-12-18,14
2022-12-25,18
2023-01-01,20
2023-01-08,19
2023-01-15,17
2023-01-22,21
2023-01-29,22
2023-02-05,16
2023-02-12,22
2023-02-19,24
2023-02-26,21
2023-03-05,24
2023-03-12,23
2023-03-19,16
2023-03-26,16
2023-04-02,17
2023-04-09,19
2023-04-16,15
2023-04-23,12
2023-04-30,13
2023-05-07,13
2023-05-14,12
2023-05-21,11
2023-05-28,11
2023-06-04,15
2023-06-11,13
2023-06-18,11
2023-06-25,14
2023-07-02,13
2023-07-09,10
2023-07-16,11
2023-07-23,11
2023-07-30,16
2023-08-06,13
2023-08-13,12
2023-08-20,9
2023-08-27,11
2023-09-03,12
2023-09-10,12
2023-09-17,11
2023-09-24,9
2023-10-01,9
2023-10-08,9
2023-10-15,11
2023-10-22,14
2023-10-29,10
2023-11-05,11
2023-11-12,9
2023-11-19,12
2023-11-26,13
2023-12-03,11
2023-12-10,10
2023-12-17,11
2023-12-24,17
2023-12-31,10
2024-01-07,12
2024-01-14,15
2024-01-21,15
2024-01-28,15
2024-02-04,13
2024-02-11,13
2024-02-18,13
2024-02-25,12
2024-03-03,13
2024-03-10,12
2024-03-17,13
2024-03-24,9
2024-03-31,15
2024-04-07,12
2024-04-14,11
2024-04-21,13
2024-04-28,13
2024-05-05,8
2024-05-12,9
2024-05-19,10
2024-05-26,10
2024-06-02,6
2024-06-09,10
2024-06-16,13
2024-06-23,10
2024-06-30,9
2024-07-07,12
2024-07-14,7
2024-07-21,11
2024-07-28,8
2024-08-04,8
2024-08-11,6
2024-08-18,11
2024-08-25,8
2024-09-01,12
2024-09-08,10
2024-09-15,10
2024-09-22,10
2024-09-29,11
2024-10-06,10
2024-10-13,15
2024-10-20,13
2024-10-27,11
2024-11-03,6
2024-11-10,12
2024-11-17,11
2024-11-24,8
2024-12-01,14
2024-12-08,14
2024-12-15,9
2024-12-22,10
2024-12-29,17
2025-01-05,13
2025-01-12,14
2025-01-19,14
2025-01-26,14
2025-02-02,13
2025-02-09,9
2025-02-16,15
2025-02-23,11
2025-03-02,14
2025-03-09,17
2025-03-16,17
2025-03-23,13
2025-03-30,10
2025-04-06,15
2025-04-13,15
2025-04-20,16
2025-04-27,18
2025-05-04,15
2025-05-11,9
2025-05-18,15
2025-05-25,14
2025-06-01,19
2025-06-08,35
2025-06-15,33
2025-06-22,24
2025-06-29,27
2025-07-06,28
2025-07-13,37
2025-07-20,54
2025-07-27,100
