date,recession forecast
2020-08-02,6
2020-08-09,12
2020-08-16,0
2020-08-23,5
2020-08-30,8
2020-09-06,0
2020-09-13,5
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,5
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,6
2020-11-29,9
2020-12-06,7
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,6
2021-01-24,0
2021-01-31,7
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,8
2021-03-14,5
2021-03-21,0
2021-03-28,0
2021-04-04,10
2021-04-11,0
2021-04-18,0
2021-04-25,5
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,6
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,6
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,7
2022-02-20,8
2022-02-27,5
2022-03-06,13
2022-03-13,16
2022-03-20,13
2022-03-27,14
2022-04-03,22
2022-04-10,17
2022-04-17,15
2022-04-24,18
2022-05-01,17
2022-05-08,23
2022-05-15,27
2022-05-22,24
2022-05-29,16
2022-06-05,27
2022-06-12,53
2022-06-19,39
2022-06-26,30
2022-07-03,23
2022-07-10,32
2022-07-17,22
2022-07-24,100
2022-07-31,37
2022-08-07,17
2022-08-14,21
2022-08-21,16
2022-08-28,18
2022-09-04,15
2022-09-11,23
2022-09-18,29
2022-09-25,30
2022-10-02,22
2022-10-09,38
2022-10-16,42
2022-10-23,34
2022-10-30,35
2022-11-06,34
2022-11-13,35
2022-11-20,23
2022-11-27,25
2022-12-04,29
2022-12-11,24
2022-12-18,25
2022-12-25,17
2023-01-01,21
2023-01-08,23
2023-01-15,22
2023-01-22,23
2023-01-29,25
2023-02-05,19
2023-02-12,19
2023-02-19,14
2023-02-26,11
2023-03-05,16
2023-03-12,17
2023-03-19,16
2023-03-26,16
2023-04-02,18
2023-04-09,25
2023-04-16,20
2023-04-23,15
2023-04-30,70
2023-05-07,26
2023-05-14,16
2023-05-21,24
2023-05-28,12
2023-06-04,21
2023-06-11,19
2023-06-18,14
2023-06-25,17
2023-07-02,9
2023-07-09,10
2023-07-16,13
2023-07-23,17
2023-07-30,9
2023-08-06,13
2023-08-13,15
2023-08-20,11
2023-08-27,12
2023-09-03,11
2023-09-10,6
2023-09-17,12
2023-09-24,11
2023-10-01,16
2023-10-08,10
2023-10-15,10
2023-10-22,10
2023-10-29,15
2023-11-05,15
2023-11-12,11
2023-11-19,6
2023-11-26,11
2023-12-03,13
2023-12-10,12
2023-12-17,8
2023-12-24,7
2023-12-31,8
2024-01-07,14
2024-01-14,8
2024-01-21,10
2024-01-28,7
2024-02-04,10
2024-02-11,15
2024-02-18,15
2024-02-25,10
2024-03-03,0
2024-03-10,7
2024-03-17,9
2024-03-24,6
2024-03-31,0
2024-04-07,0
2024-04-14,9
2024-04-21,8
2024-04-28,6
2024-05-05,7
2024-05-12,6
2024-05-19,0
2024-05-26,6
2024-06-02,9
2024-06-09,6
2024-06-16,6
2024-06-23,0
2024-06-30,6
2024-07-07,0
2024-07-14,6
2024-07-21,13
2024-07-28,12
2024-08-04,21
2024-08-11,12
2024-08-18,11
2024-08-25,9
2024-09-01,9
2024-09-08,9
2024-09-15,6
2024-09-22,8
2024-09-29,8
2024-10-06,0
2024-10-13,10
2024-10-20,8
2024-10-27,7
2024-11-03,0
2024-11-10,9
2024-11-17,12
2024-11-24,9
2024-12-01,0
2024-12-08,7
2024-12-15,7
2024-12-22,0
2024-12-29,0
2025-01-05,6
2025-01-12,0
2025-01-19,0
2025-01-26,7
2025-02-02,6
2025-02-09,10
2025-02-16,12
2025-02-23,7
2025-03-02,14
2025-03-09,26
2025-03-16,17
2025-03-23,12
2025-03-30,36
2025-04-06,55
2025-04-13,19
2025-04-20,13
2025-04-27,16
2025-05-04,7
2025-05-11,13
2025-05-18,12
2025-05-25,6
2025-06-01,12
2025-06-08,15
2025-06-15,11
2025-06-22,18
2025-06-29,15
2025-07-06,15
2025-07-13,21
2025-07-20,45
2025-07-27,82
