date,renewable energy
2020-08-02,39
2020-08-09,41
2020-08-16,48
2020-08-23,45
2020-08-30,51
2020-09-06,54
2020-09-13,58
2020-09-20,59
2020-09-27,57
2020-10-04,61
2020-10-11,63
2020-10-18,60
2020-10-25,54
2020-11-01,55
2020-11-08,58
2020-11-15,58
2020-11-22,53
2020-11-29,60
2020-12-06,60
2020-12-13,59
2020-12-20,37
2020-12-27,34
2021-01-03,61
2021-01-10,61
2021-01-17,68
2021-01-24,73
2021-01-31,71
2021-02-07,67
2021-02-14,71
2021-02-21,68
2021-02-28,64
2021-03-07,60
2021-03-14,66
2021-03-21,59
2021-03-28,50
2021-04-04,53
2021-04-11,56
2021-04-18,65
2021-04-25,62
2021-05-02,66
2021-05-09,64
2021-05-16,60
2021-05-23,60
2021-05-30,64
2021-06-06,53
2021-06-13,57
2021-06-20,50
2021-06-27,45
2021-07-04,45
2021-07-11,45
2021-07-18,42
2021-07-25,53
2021-08-01,55
2021-08-08,62
2021-08-15,47
2021-08-22,43
2021-08-29,48
2021-09-05,48
2021-09-12,59
2021-09-19,55
2021-09-26,55
2021-10-03,58
2021-10-10,60
2021-10-17,68
2021-10-24,66
2021-10-31,64
2021-11-07,66
2021-11-14,62
2021-11-21,58
2021-11-28,61
2021-12-05,61
2021-12-12,54
2021-12-19,38
2021-12-26,36
2022-01-02,58
2022-01-09,68
2022-01-16,64
2022-01-23,67
2022-01-30,69
2022-02-06,71
2022-02-13,78
2022-02-20,81
2022-02-27,85
2022-03-06,88
2022-03-13,81
2022-03-20,89
2022-03-27,92
2022-04-03,91
2022-04-10,81
2022-04-17,95
2022-04-24,95
2022-05-01,86
2022-05-08,92
2022-05-15,82
2022-05-22,76
2022-05-29,64
2022-06-05,67
2022-06-12,64
2022-06-19,59
2022-06-26,51
2022-07-03,50
2022-07-10,52
2022-07-17,54
2022-07-24,56
2022-07-31,52
2022-08-07,52
2022-08-14,51
2022-08-21,54
2022-08-28,55
2022-09-04,62
2022-09-11,64
2022-09-18,67
2022-09-25,69
2022-10-02,64
2022-10-09,68
2022-10-16,69
2022-10-23,66
2022-10-30,69
2022-11-06,73
2022-11-13,80
2022-11-20,64
2022-11-27,75
2022-12-04,75
2022-12-11,69
2022-12-18,51
2022-12-25,38
2023-01-01,54
2023-01-08,71
2023-01-15,71
2023-01-22,68
2023-01-29,74
2023-02-05,68
2023-02-12,73
2023-02-19,75
2023-02-26,77
2023-03-05,75
2023-03-12,68
2023-03-19,72
2023-03-26,75
2023-04-02,62
2023-04-09,70
2023-04-16,74
2023-04-23,79
2023-04-30,75
2023-05-07,79
2023-05-14,76
2023-05-21,74
2023-05-28,63
2023-06-04,68
2023-06-11,64
2023-06-18,58
2023-06-25,53
2023-07-02,50
2023-07-09,53
2023-07-16,51
2023-07-23,54
2023-07-30,53
2023-08-06,54
2023-08-13,54
2023-08-20,56
2023-08-27,55
2023-09-03,62
2023-09-10,67
2023-09-17,66
2023-09-24,63
2023-10-01,68
2023-10-08,69
2023-10-15,69
2023-10-22,68
2023-10-29,68
2023-11-05,70
2023-11-12,74
2023-11-19,88
2023-11-26,96
2023-12-03,88
2023-12-10,93
2023-12-17,66
2023-12-24,48
2023-12-31,63
2024-01-07,81
2024-01-14,83
2024-01-21,92
2024-01-28,100
2024-02-04,95
2024-02-11,87
2024-02-18,85
2024-02-25,94
2024-03-03,84
2024-03-10,81
2024-03-17,85
2024-03-24,74
2024-03-31,75
2024-04-07,82
2024-04-14,90
2024-04-21,95
2024-04-28,88
2024-05-05,86
2024-05-12,84
2024-05-19,82
2024-05-26,73
2024-06-02,75
2024-06-09,70
2024-06-16,63
2024-06-23,65
2024-06-30,61
2024-07-07,67
2024-07-14,66
2024-07-21,68
2024-07-28,60
2024-08-04,58
2024-08-11,62
2024-08-18,63
2024-08-25,67
2024-09-01,66
2024-09-08,72
2024-09-15,77
2024-09-22,76
2024-09-29,72
2024-10-06,73
2024-10-13,73
2024-10-20,79
2024-10-27,70
2024-11-03,82
2024-11-10,92
2024-11-17,85
2024-11-24,77
2024-12-01,86
2024-12-08,83
2024-12-15,68
2024-12-22,41
2024-12-29,42
2025-01-05,72
2025-01-12,82
2025-01-19,81
2025-01-26,85
2025-02-02,84
2025-02-09,83
2025-02-16,83
2025-02-23,88
2025-03-02,79
2025-03-09,76
2025-03-16,86
2025-03-23,81
2025-03-30,81
2025-04-06,78
2025-04-13,74
2025-04-20,87
2025-04-27,96
2025-05-04,82
2025-05-11,86
2025-05-18,79
2025-05-25,71
2025-06-01,74
2025-06-08,79
2025-06-15,78
2025-06-22,79
2025-06-29,73
2025-07-06,68
2025-07-13,81
2025-07-20,86
2025-07-27,97
