date,smart home
2020-08-02,66
2020-08-09,67
2020-08-16,64
2020-08-23,65
2020-08-30,68
2020-09-06,67
2020-09-13,64
2020-09-20,67
2020-09-27,70
2020-10-04,69
2020-10-11,78
2020-10-18,74
2020-10-25,69
2020-11-01,67
2020-11-08,74
2020-11-15,79
2020-11-22,95
2020-11-29,88
2020-12-06,87
2020-12-13,75
2020-12-20,82
2020-12-27,88
2021-01-03,75
2021-01-10,74
2021-01-17,70
2021-01-24,71
2021-01-31,70
2021-02-07,66
2021-02-14,66
2021-02-21,63
2021-02-28,62
2021-03-07,63
2021-03-14,62
2021-03-21,59
2021-03-28,60
2021-04-04,61
2021-04-11,64
2021-04-18,73
2021-04-25,68
2021-05-02,67
2021-05-09,70
2021-05-16,67
2021-05-23,72
2021-05-30,68
2021-06-06,72
2021-06-13,62
2021-06-20,62
2021-06-27,59
2021-07-04,59
2021-07-11,62
2021-07-18,59
2021-07-25,58
2021-08-01,57
2021-08-08,62
2021-08-15,58
2021-08-22,57
2021-08-29,54
2021-09-05,58
2021-09-12,55
2021-09-19,56
2021-09-26,59
2021-10-03,62
2021-10-10,61
2021-10-17,64
2021-10-24,63
2021-10-31,66
2021-11-07,66
2021-11-14,70
2021-11-21,79
2021-11-28,77
2021-12-05,71
2021-12-12,69
2021-12-19,70
2021-12-26,74
2022-01-02,84
2022-01-09,78
2022-01-16,69
2022-01-23,73
2022-01-30,70
2022-02-06,72
2022-02-13,72
2022-02-20,66
2022-02-27,64
2022-03-06,64
2022-03-13,62
2022-03-20,62
2022-03-27,62
2022-04-03,68
2022-04-10,58
2022-04-17,79
2022-04-24,73
2022-05-01,67
2022-05-08,67
2022-05-15,66
2022-05-22,66
2022-05-29,66
2022-06-05,70
2022-06-12,58
2022-06-19,62
2022-06-26,56
2022-07-03,62
2022-07-10,64
2022-07-17,61
2022-07-24,58
2022-07-31,60
2022-08-07,58
2022-08-14,59
2022-08-21,61
2022-08-28,65
2022-09-04,62
2022-09-11,65
2022-09-18,70
2022-09-25,68
2022-10-02,73
2022-10-09,70
2022-10-16,65
2022-10-23,64
2022-10-30,68
2022-11-06,69
2022-11-13,71
2022-11-20,83
2022-11-27,77
2022-12-04,76
2022-12-11,74
2022-12-18,70
2022-12-25,82
2023-01-01,72
2023-01-08,70
2023-01-15,69
2023-01-22,69
2023-01-29,66
2023-02-05,66
2023-02-12,65
2023-02-19,61
2023-02-26,58
2023-03-05,58
2023-03-12,55
2023-03-19,55
2023-03-26,59
2023-04-02,57
2023-04-09,54
2023-04-16,62
2023-04-23,61
2023-04-30,60
2023-05-07,58
2023-05-14,59
2023-05-21,55
2023-05-28,61
2023-06-04,61
2023-06-11,63
2023-06-18,56
2023-06-25,56
2023-07-02,56
2023-07-09,60
2023-07-16,57
2023-07-23,59
2023-07-30,59
2023-08-06,57
2023-08-13,58
2023-08-20,55
2023-08-27,58
2023-09-03,57
2023-09-10,55
2023-09-17,57
2023-09-24,59
2023-10-01,61
2023-10-08,65
2023-10-15,66
2023-10-22,65
2023-10-29,69
2023-11-05,67
2023-11-12,70
2023-11-19,78
2023-11-26,74
2023-12-03,73
2023-12-10,69
2023-12-17,62
2023-12-24,71
2023-12-31,72
2024-01-07,70
2024-01-14,67
2024-01-21,64
2024-01-28,67
2024-02-04,66
2024-02-11,61
2024-02-18,64
2024-02-25,62
2024-03-03,63
2024-03-10,61
2024-03-17,61
2024-03-24,62
2024-03-31,60
2024-04-07,55
2024-04-14,62
2024-04-21,66
2024-04-28,64
2024-05-05,61
2024-05-12,60
2024-05-19,62
2024-05-26,60
2024-06-02,63
2024-06-09,64
2024-06-16,58
2024-06-23,58
2024-06-30,57
2024-07-07,65
2024-07-14,65
2024-07-21,58
2024-07-28,57
2024-08-04,59
2024-08-11,61
2024-08-18,60
2024-08-25,61
2024-09-01,63
2024-09-08,66
2024-09-15,60
2024-09-22,62
2024-09-29,65
2024-10-06,69
2024-10-13,68
2024-10-20,67
2024-10-27,68
2024-11-03,70
2024-11-10,76
2024-11-17,83
2024-11-24,90
2024-12-01,83
2024-12-08,77
2024-12-15,73
2024-12-22,84
2024-12-29,84
2025-01-05,88
2025-01-12,77
2025-01-19,76
2025-01-26,75
2025-02-02,76
2025-02-09,73
2025-02-16,79
2025-02-23,78
2025-03-02,74
2025-03-09,69
2025-03-16,73
2025-03-23,72
2025-03-30,76
2025-04-06,74
2025-04-13,77
2025-04-20,81
2025-04-27,74
2025-05-04,77
2025-05-11,80
2025-05-18,76
2025-05-25,69
2025-06-01,75
2025-06-08,82
2025-06-15,82
2025-06-22,83
2025-06-29,82
2025-07-06,91
2025-07-13,86
2025-07-20,92
2025-07-27,100
