date,superfoods
2020-08-02,98
2020-08-09,93
2020-08-16,89
2020-08-23,84
2020-08-30,92
2020-09-06,84
2020-09-13,86
2020-09-20,78
2020-09-27,79
2020-10-04,67
2020-10-11,74
2020-10-18,71
2020-10-25,73
2020-11-01,75
2020-11-08,67
2020-11-15,67
2020-11-22,70
2020-11-29,68
2020-12-06,65
2020-12-13,58
2020-12-20,60
2020-12-27,85
2021-01-03,93
2021-01-10,90
2021-01-17,92
2021-01-24,91
2021-01-31,84
2021-02-07,80
2021-02-14,82
2021-02-21,80
2021-02-28,73
2021-03-07,74
2021-03-14,77
2021-03-21,72
2021-03-28,78
2021-04-04,84
2021-04-11,80
2021-04-18,81
2021-04-25,78
2021-05-02,80
2021-05-09,74
2021-05-16,74
2021-05-23,66
2021-05-30,79
2021-06-06,78
2021-06-13,73
2021-06-20,75
2021-06-27,69
2021-07-04,66
2021-07-11,69
2021-07-18,75
2021-07-25,70
2021-08-01,75
2021-08-08,72
2021-08-15,78
2021-08-22,72
2021-08-29,66
2021-09-05,67
2021-09-12,68
2021-09-19,67
2021-09-26,70
2021-10-03,71
2021-10-10,70
2021-10-17,69
2021-10-24,66
2021-10-31,61
2021-11-07,67
2021-11-14,66
2021-11-21,65
2021-11-28,71
2021-12-05,60
2021-12-12,61
2021-12-19,56
2021-12-26,74
2022-01-02,95
2022-01-09,85
2022-01-16,79
2022-01-23,86
2022-01-30,90
2022-02-06,80
2022-02-13,85
2022-02-20,82
2022-02-27,82
2022-03-06,81
2022-03-13,78
2022-03-20,75
2022-03-27,81
2022-04-03,78
2022-04-10,72
2022-04-17,72
2022-04-24,73
2022-05-01,69
2022-05-08,77
2022-05-15,72
2022-05-22,76
2022-05-29,72
2022-06-05,67
2022-06-12,71
2022-06-19,73
2022-06-26,73
2022-07-03,73
2022-07-10,74
2022-07-17,69
2022-07-24,72
2022-07-31,69
2022-08-07,75
2022-08-14,73
2022-08-21,73
2022-08-28,76
2022-09-04,71
2022-09-11,66
2022-09-18,67
2022-09-25,73
2022-10-02,69
2022-10-09,70
2022-10-16,72
2022-10-23,70
2022-10-30,74
2022-11-06,68
2022-11-13,72
2022-11-20,66
2022-11-27,71
2022-12-04,69
2022-12-11,63
2022-12-18,64
2022-12-25,78
2023-01-01,100
2023-01-08,92
2023-01-15,91
2023-01-22,94
2023-01-29,98
2023-02-05,91
2023-02-12,82
2023-02-19,92
2023-02-26,89
2023-03-05,81
2023-03-12,84
2023-03-19,85
2023-03-26,83
2023-04-02,82
2023-04-09,87
2023-04-16,86
2023-04-23,86
2023-04-30,79
2023-05-07,82
2023-05-14,74
2023-05-21,80
2023-05-28,76
2023-06-04,80
2023-06-11,77
2023-06-18,80
2023-06-25,79
2023-07-02,76
2023-07-09,82
2023-07-16,83
2023-07-23,81
2023-07-30,89
2023-08-06,84
2023-08-13,83
2023-08-20,79
2023-08-27,77
2023-09-03,80
2023-09-10,78
2023-09-17,78
2023-09-24,75
2023-10-01,75
2023-10-08,75
2023-10-15,72
2023-10-22,71
2023-10-29,72
2023-11-05,73
2023-11-12,67
2023-11-19,70
2023-11-26,70
2023-12-03,69
2023-12-10,63
2023-12-17,61
2023-12-24,67
2023-12-31,99
2024-01-07,92
2024-01-14,90
2024-01-21,91
2024-01-28,89
2024-02-04,90
2024-02-11,81
2024-02-18,89
2024-02-25,86
2024-03-03,79
2024-03-10,82
2024-03-17,84
2024-03-24,78
2024-03-31,81
2024-04-07,83
2024-04-14,86
2024-04-21,87
2024-04-28,84
2024-05-05,87
2024-05-12,81
2024-05-19,83
2024-05-26,99
2024-06-02,90
2024-06-09,75
2024-06-16,80
2024-06-23,73
2024-06-30,79
2024-07-07,83
2024-07-14,72
2024-07-21,78
2024-07-28,77
2024-08-04,79
2024-08-11,74
2024-08-18,78
2024-08-25,79
2024-09-01,83
2024-09-08,78
2024-09-15,77
2024-09-22,75
2024-09-29,70
2024-10-06,76
2024-10-13,70
2024-10-20,79
2024-10-27,72
2024-11-03,71
2024-11-10,76
2024-11-17,68
2024-11-24,62
2024-12-01,64
2024-12-08,62
2024-12-15,59
2024-12-22,58
2024-12-29,95
2025-01-05,93
2025-01-12,88
2025-01-19,81
2025-01-26,82
2025-02-02,81
2025-02-09,77
2025-02-16,82
2025-02-23,83
2025-03-02,80
2025-03-09,82
2025-03-16,85
2025-03-23,83
2025-03-30,80
2025-04-06,75
2025-04-13,72
2025-04-20,77
2025-04-27,73
2025-05-04,79
2025-05-11,78
2025-05-18,76
2025-05-25,72
2025-06-01,84
2025-06-08,80
2025-06-15,81
2025-06-22,82
2025-06-29,76
2025-07-06,82
2025-07-13,83
2025-07-20,87
2025-07-27,89
