date,sustainable agriculture
2020-08-02,35
2020-08-09,40
2020-08-16,40
2020-08-23,50
2020-08-30,47
2020-09-06,52
2020-09-13,58
2020-09-20,57
2020-09-27,47
2020-10-04,53
2020-10-11,54
2020-10-18,50
2020-10-25,48
2020-11-01,48
2020-11-08,56
2020-11-15,46
2020-11-22,41
2020-11-29,50
2020-12-06,56
2020-12-13,47
2020-12-20,34
2020-12-27,28
2021-01-03,40
2021-01-10,42
2021-01-17,49
2021-01-24,46
2021-01-31,49
2021-02-07,46
2021-02-14,47
2021-02-21,51
2021-02-28,55
2021-03-07,55
2021-03-14,54
2021-03-21,54
2021-03-28,49
2021-04-04,66
2021-04-11,58
2021-04-18,52
2021-04-25,56
2021-05-02,52
2021-05-09,48
2021-05-16,47
2021-05-23,48
2021-05-30,45
2021-06-06,49
2021-06-13,43
2021-06-20,42
2021-06-27,42
2021-07-04,38
2021-07-11,37
2021-07-18,38
2021-07-25,40
2021-08-01,44
2021-08-08,44
2021-08-15,38
2021-08-22,38
2021-08-29,39
2021-09-05,43
2021-09-12,51
2021-09-19,46
2021-09-26,49
2021-10-03,48
2021-10-10,42
2021-10-17,56
2021-10-24,54
2021-10-31,40
2021-11-07,54
2021-11-14,62
2021-11-21,57
2021-11-28,58
2021-12-05,55
2021-12-12,60
2021-12-19,33
2021-12-26,30
2022-01-02,53
2022-01-09,57
2022-01-16,56
2022-01-23,65
2022-01-30,67
2022-02-06,71
2022-02-13,74
2022-02-20,77
2022-02-27,71
2022-03-06,75
2022-03-13,67
2022-03-20,72
2022-03-27,85
2022-04-03,82
2022-04-10,65
2022-04-17,82
2022-04-24,89
2022-05-01,80
2022-05-08,84
2022-05-15,69
2022-05-22,73
2022-05-29,63
2022-06-05,61
2022-06-12,58
2022-06-19,60
2022-06-26,51
2022-07-03,57
2022-07-10,52
2022-07-17,52
2022-07-24,53
2022-07-31,47
2022-08-07,44
2022-08-14,52
2022-08-21,54
2022-08-28,60
2022-09-04,55
2022-09-11,69
2022-09-18,64
2022-09-25,60
2022-10-02,59
2022-10-09,73
2022-10-16,67
2022-10-23,67
2022-10-30,73
2022-11-06,77
2022-11-13,81
2022-11-20,69
2022-11-27,77
2022-12-04,76
2022-12-11,81
2022-12-18,55
2022-12-25,49
2023-01-01,57
2023-01-08,70
2023-01-15,75
2023-01-22,75
2023-01-29,75
2023-02-05,73
2023-02-12,73
2023-02-19,80
2023-02-26,86
2023-03-05,73
2023-03-12,75
2023-03-19,71
2023-03-26,69
2023-04-02,60
2023-04-09,77
2023-04-16,80
2023-04-23,75
2023-04-30,78
2023-05-07,73
2023-05-14,77
2023-05-21,71
2023-05-28,70
2023-06-04,69
2023-06-11,65
2023-06-18,61
2023-06-25,61
2023-07-02,59
2023-07-09,55
2023-07-16,54
2023-07-23,58
2023-07-30,58
2023-08-06,55
2023-08-13,53
2023-08-20,58
2023-08-27,59
2023-09-03,65
2023-09-10,63
2023-09-17,71
2023-09-24,72
2023-10-01,69
2023-10-08,77
2023-10-15,82
2023-10-22,73
2023-10-29,75
2023-11-05,77
2023-11-12,75
2023-11-19,73
2023-11-26,80
2023-12-03,95
2023-12-10,87
2023-12-17,67
2023-12-24,43
2023-12-31,57
2024-01-07,72
2024-01-14,73
2024-01-21,76
2024-01-28,91
2024-02-04,86
2024-02-11,90
2024-02-18,84
2024-02-25,88
2024-03-03,81
2024-03-10,79
2024-03-17,80
2024-03-24,69
2024-03-31,73
2024-04-07,75
2024-04-14,86
2024-04-21,94
2024-04-28,85
2024-05-05,80
2024-05-12,83
2024-05-19,73
2024-05-26,75
2024-06-02,66
2024-06-09,72
2024-06-16,68
2024-06-23,59
2024-06-30,59
2024-07-07,59
2024-07-14,66
2024-07-21,59
2024-07-28,56
2024-08-04,59
2024-08-11,60
2024-08-18,63
2024-08-25,72
2024-09-01,72
2024-09-08,84
2024-09-15,82
2024-09-22,77
2024-09-29,74
2024-10-06,78
2024-10-13,87
2024-10-20,85
2024-10-27,83
2024-11-03,84
2024-11-10,88
2024-11-17,94
2024-11-24,80
2024-12-01,93
2024-12-08,92
2024-12-15,86
2024-12-22,54
2024-12-29,54
2025-01-05,80
2025-01-12,86
2025-01-19,95
2025-01-26,100
2025-02-02,95
2025-02-09,94
2025-02-16,93
2025-02-23,100
2025-03-02,91
2025-03-09,88
2025-03-16,95
2025-03-23,83
2025-03-30,80
2025-04-06,87
2025-04-13,81
2025-04-20,93
2025-04-27,93
2025-05-04,87
2025-05-11,83
2025-05-18,78
2025-05-25,70
2025-06-01,78
2025-06-08,85
2025-06-15,76
2025-06-22,71
2025-06-29,71
2025-07-06,69
2025-07-13,72
2025-07-20,73
2025-07-27,87
