date,sustainable fashion
2020-08-02,70
2020-08-09,64
2020-08-16,70
2020-08-23,70
2020-08-30,79
2020-09-06,73
2020-09-13,76
2020-09-20,76
2020-09-27,78
2020-10-04,77
2020-10-11,69
2020-10-18,70
2020-10-25,64
2020-11-01,65
2020-11-08,71
2020-11-15,64
2020-11-22,76
2020-11-29,66
2020-12-06,60
2020-12-13,56
2020-12-20,44
2020-12-27,53
2021-01-03,50
2021-01-10,57
2021-01-17,55
2021-01-24,65
2021-01-31,60
2021-02-07,62
2021-02-14,61
2021-02-21,71
2021-02-28,61
2021-03-07,56
2021-03-14,66
2021-03-21,70
2021-03-28,65
2021-04-04,70
2021-04-11,78
2021-04-18,84
2021-04-25,71
2021-05-02,70
2021-05-09,67
2021-05-16,61
2021-05-23,63
2021-05-30,65
2021-06-06,57
2021-06-13,60
2021-06-20,54
2021-06-27,54
2021-07-04,49
2021-07-11,65
2021-07-18,54
2021-07-25,53
2021-08-01,52
2021-08-08,63
2021-08-15,57
2021-08-22,55
2021-08-29,63
2021-09-05,61
2021-09-12,68
2021-09-19,66
2021-09-26,68
2021-10-03,67
2021-10-10,72
2021-10-17,65
2021-10-24,70
2021-10-31,71
2021-11-07,85
2021-11-14,76
2021-11-21,68
2021-11-28,72
2021-12-05,69
2021-12-12,59
2021-12-19,48
2021-12-26,46
2022-01-02,74
2022-01-09,68
2022-01-16,67
2022-01-23,77
2022-01-30,71
2022-02-06,69
2022-02-13,77
2022-02-20,69
2022-02-27,81
2022-03-06,87
2022-03-13,79
2022-03-20,76
2022-03-27,90
2022-04-03,85
2022-04-10,82
2022-04-17,100
2022-04-24,89
2022-05-01,86
2022-05-08,80
2022-05-15,78
2022-05-22,67
2022-05-29,63
2022-06-05,72
2022-06-12,64
2022-06-19,64
2022-06-26,57
2022-07-03,60
2022-07-10,50
2022-07-17,58
2022-07-24,61
2022-07-31,57
2022-08-07,54
2022-08-14,69
2022-08-21,64
2022-08-28,61
2022-09-04,62
2022-09-11,71
2022-09-18,80
2022-09-25,77
2022-10-02,70
2022-10-09,79
2022-10-16,78
2022-10-23,79
2022-10-30,76
2022-11-06,81
2022-11-13,79
2022-11-20,73
2022-11-27,75
2022-12-04,75
2022-12-11,65
2022-12-18,48
2022-12-25,43
2023-01-01,56
2023-01-08,69
2023-01-15,66
2023-01-22,69
2023-01-29,69
2023-02-05,72
2023-02-12,74
2023-02-19,78
2023-02-26,72
2023-03-05,79
2023-03-12,73
2023-03-19,77
2023-03-26,70
2023-04-02,72
2023-04-09,69
2023-04-16,85
2023-04-23,80
2023-04-30,72
2023-05-07,73
2023-05-14,67
2023-05-21,67
2023-05-28,58
2023-06-04,71
2023-06-11,63
2023-06-18,52
2023-06-25,57
2023-07-02,55
2023-07-09,61
2023-07-16,56
2023-07-23,60
2023-07-30,53
2023-08-06,58
2023-08-13,61
2023-08-20,56
2023-08-27,50
2023-09-03,63
2023-09-10,67
2023-09-17,71
2023-09-24,75
2023-10-01,73
2023-10-08,74
2023-10-15,75
2023-10-22,70
2023-10-29,69
2023-11-05,74
2023-11-12,68
2023-11-19,68
2023-11-26,76
2023-12-03,81
2023-12-10,72
2023-12-17,56
2023-12-24,40
2023-12-31,50
2024-01-07,59
2024-01-14,64
2024-01-21,71
2024-01-28,68
2024-02-04,68
2024-02-11,70
2024-02-18,75
2024-02-25,80
2024-03-03,73
2024-03-10,71
2024-03-17,78
2024-03-24,69
2024-03-31,65
2024-04-07,79
2024-04-14,73
2024-04-21,81
2024-04-28,74
2024-05-05,68
2024-05-12,70
2024-05-19,68
2024-05-26,63
2024-06-02,64
2024-06-09,62
2024-06-16,54
2024-06-23,55
2024-06-30,50
2024-07-07,55
2024-07-14,54
2024-07-21,56
2024-07-28,57
2024-08-04,56
2024-08-11,49
2024-08-18,62
2024-08-25,59
2024-09-01,59
2024-09-08,60
2024-09-15,73
2024-09-22,79
2024-09-29,72
2024-10-06,79
2024-10-13,77
2024-10-20,79
2024-10-27,69
2024-11-03,78
2024-11-10,86
2024-11-17,85
2024-11-24,88
2024-12-01,80
2024-12-08,83
2024-12-15,61
2024-12-22,81
2024-12-29,95
2025-01-05,93
2025-01-12,78
2025-01-19,67
2025-01-26,68
2025-02-02,69
2025-02-09,75
2025-02-16,77
2025-02-23,87
2025-03-02,79
2025-03-09,71
2025-03-16,73
2025-03-23,86
2025-03-30,73
2025-04-06,70
2025-04-13,67
2025-04-20,75
2025-04-27,85
2025-05-04,77
2025-05-11,72
2025-05-18,68
2025-05-25,57
2025-06-01,73
2025-06-08,83
2025-06-15,86
2025-06-22,70
2025-06-29,61
2025-07-06,63
2025-07-13,73
2025-07-20,69
2025-07-27,84
