date,vegan trends
2020-08-02,0
2020-08-09,21
2020-08-16,23
2020-08-23,19
2020-08-30,34
2020-09-06,17
2020-09-13,31
2020-09-20,34
2020-09-27,31
2020-10-04,0
2020-10-11,21
2020-10-18,27
2020-10-25,28
2020-11-01,18
2020-11-08,23
2020-11-15,25
2020-11-22,19
2020-11-29,16
2020-12-06,20
2020-12-13,33
2020-12-20,0
2020-12-27,16
2021-01-03,22
2021-01-10,24
2021-01-17,24
2021-01-24,36
2021-01-31,23
2021-02-07,31
2021-02-14,0
2021-02-21,22
2021-02-28,16
2021-03-07,39
2021-03-14,15
2021-03-21,21
2021-03-28,20
2021-04-04,15
2021-04-11,17
2021-04-18,19
2021-04-25,25
2021-05-02,22
2021-05-09,16
2021-05-16,17
2021-05-23,0
2021-05-30,17
2021-06-06,31
2021-06-13,0
2021-06-20,17
2021-06-27,19
2021-07-04,0
2021-07-11,0
2021-07-18,18
2021-07-25,0
2021-08-01,0
2021-08-08,20
2021-08-15,0
2021-08-22,18
2021-08-29,0
2021-09-05,23
2021-09-12,26
2021-09-19,0
2021-09-26,0
2021-10-03,17
2021-10-10,0
2021-10-17,21
2021-10-24,19
2021-10-31,21
2021-11-07,16
2021-11-14,0
2021-11-21,28
2021-11-28,0
2021-12-05,35
2021-12-12,0
2021-12-19,18
2021-12-26,0
2022-01-02,23
2022-01-09,25
2022-01-16,22
2022-01-23,19
2022-01-30,18
2022-02-06,24
2022-02-13,24
2022-02-20,18
2022-02-27,16
2022-03-06,19
2022-03-13,27
2022-03-20,42
2022-03-27,33
2022-04-03,38
2022-04-10,27
2022-04-17,13
2022-04-24,13
2022-05-01,25
2022-05-08,27
2022-05-15,19
2022-05-22,17
2022-05-29,13
2022-06-05,18
2022-06-12,21
2022-06-19,21
2022-06-26,14
2022-07-03,19
2022-07-10,0
2022-07-17,17
2022-07-24,35
2022-07-31,15
2022-08-07,16
2022-08-14,0
2022-08-21,14
2022-08-28,16
2022-09-04,34
2022-09-11,24
2022-09-18,15
2022-09-25,23
2022-10-02,22
2022-10-09,22
2022-10-16,17
2022-10-23,14
2022-10-30,12
2022-11-06,18
2022-11-13,27
2022-11-20,17
2022-11-27,19
2022-12-04,22
2022-12-11,15
2022-12-18,0
2022-12-25,20
2023-01-01,21
2023-01-08,22
2023-01-15,18
2023-01-22,21
2023-01-29,18
2023-02-05,24
2023-02-12,18
2023-02-19,20
2023-02-26,22
2023-03-05,14
2023-03-12,20
2023-03-19,14
2023-03-26,25
2023-04-02,21
2023-04-09,0
2023-04-16,13
2023-04-23,21
2023-04-30,18
2023-05-07,23
2023-05-14,16
2023-05-21,20
2023-05-28,15
2023-06-04,20
2023-06-11,17
2023-06-18,12
2023-06-25,13
2023-07-02,0
2023-07-09,16
2023-07-16,16
2023-07-23,15
2023-07-30,14
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,16
2023-09-10,0
2023-09-17,18
2023-09-24,17
2023-10-01,13
2023-10-08,16
2023-10-15,18
2023-10-22,15
2023-10-29,20
2023-11-05,19
2023-11-12,21
2023-11-19,0
2023-11-26,22
2023-12-03,0
2023-12-10,15
2023-12-17,0
2023-12-24,0
2023-12-31,22
2024-01-07,21
2024-01-14,15
2024-01-21,0
2024-01-28,22
2024-02-04,26
2024-02-11,26
2024-02-18,0
2024-02-25,0
2024-03-03,26
2024-03-10,20
2024-03-17,16
2024-03-24,23
2024-03-31,18
2024-04-07,18
2024-04-14,16
2024-04-21,19
2024-04-28,0
2024-05-05,0
2024-05-12,0
2024-05-19,0
2024-05-26,0
2024-06-02,0
2024-06-09,20
2024-06-16,0
2024-06-23,0
2024-06-30,16
2024-07-07,0
2024-07-14,15
2024-07-21,0
2024-07-28,0
2024-08-04,0
2024-08-11,15
2024-08-18,25
2024-08-25,14
2024-09-01,0
2024-09-08,0
2024-09-15,21
2024-09-22,0
2024-09-29,0
2024-10-06,0
2024-10-13,17
2024-10-20,21
2024-10-27,26
2024-11-03,19
2024-11-10,18
2024-11-17,23
2024-11-24,35
2024-12-01,33
2024-12-08,40
2024-12-15,19
2024-12-22,0
2024-12-29,0
2025-01-05,0
2025-01-12,0
2025-01-19,0
2025-01-26,15
2025-02-02,21
2025-02-09,31
2025-02-16,22
2025-02-23,21
2025-03-02,28
2025-03-09,18
2025-03-16,26
2025-03-23,24
2025-03-30,0
2025-04-06,21
2025-04-13,17
2025-04-20,19
2025-04-27,0
2025-05-04,33
2025-05-11,23
2025-05-18,0
2025-05-25,0
2025-06-01,25
2025-06-08,45
2025-06-15,54
2025-06-22,27
2025-06-29,45
2025-07-06,34
2025-07-13,37
2025-07-20,52
2025-07-27,100
