date,war in China
2020-08-02,23
2020-08-09,22
2020-08-16,20
2020-08-23,21
2020-08-30,28
2020-09-06,28
2020-09-13,29
2020-09-20,28
2020-09-27,24
2020-10-04,23
2020-10-11,24
2020-10-18,22
2020-10-25,20
2020-11-01,19
2020-11-08,20
2020-11-15,20
2020-11-22,25
2020-11-29,22
2020-12-06,24
2020-12-13,26
2020-12-20,16
2020-12-27,16
2021-01-03,23
2021-01-10,26
2021-01-17,24
2021-01-24,24
2021-01-31,25
2021-02-07,21
2021-02-14,20
2021-02-21,29
2021-02-28,33
2021-03-07,28
2021-03-14,25
2021-03-21,25
2021-03-28,23
2021-04-04,26
2021-04-11,32
2021-04-18,31
2021-04-25,36
2021-05-02,32
2021-05-09,36
2021-05-16,31
2021-05-23,25
2021-05-30,25
2021-06-06,21
2021-06-13,19
2021-06-20,18
2021-06-27,18
2021-07-04,17
2021-07-11,17
2021-07-18,17
2021-07-25,18
2021-08-01,16
2021-08-08,16
2021-08-15,24
2021-08-22,17
2021-08-29,17
2021-09-05,17
2021-09-12,19
2021-09-19,19
2021-09-26,17
2021-10-03,22
2021-10-10,20
2021-10-17,21
2021-10-24,20
2021-10-31,20
2021-11-07,26
2021-11-14,22
2021-11-21,18
2021-11-28,20
2021-12-05,26
2021-12-12,22
2021-12-19,14
2021-12-26,13
2022-01-02,21
2022-01-09,27
2022-01-16,21
2022-01-23,32
2022-01-30,27
2022-02-06,31
2022-02-13,37
2022-02-20,100
2022-02-27,87
2022-03-06,56
2022-03-13,59
2022-03-20,50
2022-03-27,53
2022-04-03,51
2022-04-10,48
2022-04-17,53
2022-04-24,55
2022-05-01,57
2022-05-08,57
2022-05-15,50
2022-05-22,43
2022-05-29,31
2022-06-05,29
2022-06-12,32
2022-06-19,22
2022-06-26,20
2022-07-03,19
2022-07-10,19
2022-07-17,17
2022-07-24,22
2022-07-31,55
2022-08-07,36
2022-08-14,27
2022-08-21,25
2022-08-28,25
2022-09-04,22
2022-09-11,25
2022-09-18,28
2022-09-25,27
2022-10-02,25
2022-10-09,28
2022-10-16,30
2022-10-23,29
2022-10-30,32
2022-11-06,34
2022-11-13,33
2022-11-20,22
2022-11-27,33
2022-12-04,34
2022-12-11,37
2022-12-18,23
2022-12-25,18
2023-01-01,25
2023-01-08,35
2023-01-15,30
2023-01-22,36
2023-01-29,51
2023-02-05,55
2023-02-12,53
2023-02-19,52
2023-02-26,53
2023-03-05,53
2023-03-12,45
2023-03-19,53
2023-03-26,51
2023-04-02,48
2023-04-09,55
2023-04-16,53
2023-04-23,59
2023-04-30,53
2023-05-07,49
2023-05-14,45
2023-05-21,36
2023-05-28,28
2023-06-04,29
2023-06-11,24
2023-06-18,23
2023-06-25,20
2023-07-02,20
2023-07-09,20
2023-07-16,18
2023-07-23,19
2023-07-30,17
2023-08-06,19
2023-08-13,19
2023-08-20,20
2023-08-27,22
2023-09-03,21
2023-09-10,26
2023-09-17,23
2023-09-24,25
2023-10-01,28
2023-10-08,40
2023-10-15,42
2023-10-22,43
2023-10-29,32
2023-11-05,33
2023-11-12,32
2023-11-19,23
2023-11-26,32
2023-12-03,34
2023-12-10,37
2023-12-17,25
2023-12-24,16
2023-12-31,23
2024-01-07,31
2024-01-14,30
2024-01-21,35
2024-01-28,40
2024-02-04,41
2024-02-11,38
2024-02-18,39
2024-02-25,43
2024-03-03,46
2024-03-10,40
2024-03-17,47
2024-03-24,40
2024-03-31,41
2024-04-07,51
2024-04-14,60
2024-04-21,56
2024-04-28,58
2024-05-05,52
2024-05-12,51
2024-05-19,41
2024-05-26,31
2024-06-02,31
2024-06-09,27
2024-06-16,29
2024-06-23,27
2024-06-30,17
2024-07-07,21
2024-07-14,20
2024-07-21,19
2024-07-28,18
2024-08-04,17
2024-08-11,26
2024-08-18,21
2024-08-25,21
2024-09-01,19
2024-09-08,27
2024-09-15,31
2024-09-22,26
2024-09-29,29
2024-10-06,27
2024-10-13,29
2024-10-20,32
2024-10-27,32
2024-11-03,33
2024-11-10,32
2024-11-17,38
2024-11-24,23
2024-12-01,38
2024-12-08,37
2024-12-15,31
2024-12-22,17
2024-12-29,20
2025-01-05,30
2025-01-12,33
2025-01-19,30
2025-01-26,38
2025-02-02,41
2025-02-09,41
2025-02-16,38
2025-02-23,47
2025-03-02,62
2025-03-09,44
2025-03-16,49
2025-03-23,46
2025-03-30,52
2025-04-06,75
2025-04-13,62
2025-04-20,64
2025-04-27,72
2025-05-04,91
2025-05-11,65
2025-05-18,44
2025-05-25,32
2025-06-01,33
2025-06-08,38
2025-06-15,53
2025-06-22,58
2025-06-29,22
2025-07-06,26
2025-07-13,26
2025-07-20,28
2025-07-27,35
