date,war in Middle East
2020-01-01,50
2020-02-01,18
2020-03-01,20
2020-04-01,27
2020-05-01,25
2020-06-01,14
2020-07-01,12
2020-08-01,12
2020-09-01,18
2020-10-01,16
2020-11-01,17
2020-12-01,13
2021-01-01,15
2021-02-01,17
2021-03-01,17
2021-04-01,21
2021-05-01,35
2021-06-01,13
2021-07-01,9
2021-08-01,16
2021-09-01,11
2021-10-01,11
2021-11-01,11
2021-12-01,11
2022-01-01,13
2022-02-01,23
2022-03-01,32
2022-04-01,35
2022-05-01,35
2022-06-01,15
2022-07-01,11
2022-08-01,10
2022-09-01,14
2022-10-01,17
2022-11-01,18
2022-12-01,18
2023-01-01,18
2023-02-01,22
2023-03-01,26
2023-04-01,30
2023-05-01,32
2023-06-01,14
2023-07-01,11
2023-08-01,10
2023-09-01,16
2023-10-01,92
2023-11-01,42
2023-12-01,30
2024-01-01,40
2024-02-01,39
2024-03-01,34
2024-04-01,63
2024-05-01,43
2024-06-01,20
2024-07-01,17
2024-08-01,38
2024-09-01,38
2024-10-01,68
2024-11-01,34
2024-12-01,32
2025-01-01,25
2025-02-01,32
2025-03-01,33
2025-04-01,40
2025-05-01,37
2025-06-01,100
2025-07-01,22
2025-08-01,28
