date,war in Saudi Arabia
2020-08-02,14
2020-08-09,12
2020-08-16,10
2020-08-23,11
2020-08-30,10
2020-09-06,15
2020-09-13,17
2020-09-20,15
2020-09-27,11
2020-10-04,15
2020-10-11,11
2020-10-18,14
2020-10-25,13
2020-11-01,11
2020-11-08,14
2020-11-15,16
2020-11-22,13
2020-11-29,10
2020-12-06,11
2020-12-13,13
2020-12-20,7
2020-12-27,9
2021-01-03,11
2021-01-10,14
2021-01-17,16
2021-01-24,18
2021-01-31,17
2021-02-07,13
2021-02-14,12
2021-02-21,16
2021-02-28,18
2021-03-07,17
2021-03-14,11
2021-03-21,14
2021-03-28,13
2021-04-04,12
2021-04-11,14
2021-04-18,18
2021-04-25,20
2021-05-02,12
2021-05-09,30
2021-05-16,20
2021-05-23,15
2021-05-30,12
2021-06-06,13
2021-06-13,10
2021-06-20,9
2021-06-27,9
2021-07-04,11
2021-07-11,9
2021-07-18,7
2021-07-25,12
2021-08-01,8
2021-08-08,11
2021-08-15,15
2021-08-22,9
2021-08-29,8
2021-09-05,14
2021-09-12,14
2021-09-19,14
2021-09-26,12
2021-10-03,13
2021-10-10,11
2021-10-17,12
2021-10-24,19
2021-10-31,9
2021-11-07,12
2021-11-14,11
2021-11-21,13
2021-11-28,13
2021-12-05,13
2021-12-12,14
2021-12-19,9
2021-12-26,8
2022-01-02,11
2022-01-09,11
2022-01-16,14
2022-01-23,16
2022-01-30,18
2022-02-06,17
2022-02-13,11
2022-02-20,43
2022-02-27,47
2022-03-06,45
2022-03-13,52
2022-03-20,44
2022-03-27,41
2022-04-03,37
2022-04-10,34
2022-04-17,33
2022-04-24,32
2022-05-01,35
2022-05-08,34
2022-05-15,30
2022-05-22,25
2022-05-29,23
2022-06-05,16
2022-06-12,14
2022-06-19,20
2022-06-26,12
2022-07-03,14
2022-07-10,14
2022-07-17,20
2022-07-24,19
2022-07-31,14
2022-08-07,12
2022-08-14,10
2022-08-21,15
2022-08-28,19
2022-09-04,13
2022-09-11,18
2022-09-18,20
2022-09-25,14
2022-10-02,17
2022-10-09,28
2022-10-16,25
2022-10-23,25
2022-10-30,34
2022-11-06,26
2022-11-13,20
2022-11-20,28
2022-11-27,31
2022-12-04,24
2022-12-11,24
2022-12-18,11
2022-12-25,17
2023-01-01,19
2023-01-08,25
2023-01-15,20
2023-01-22,23
2023-01-29,21
2023-02-05,22
2023-02-12,26
2023-02-19,23
2023-02-26,28
2023-03-05,29
2023-03-12,29
2023-03-19,27
2023-03-26,29
2023-04-02,33
2023-04-09,28
2023-04-16,34
2023-04-23,40
2023-04-30,40
2023-05-07,34
2023-05-14,34
2023-05-21,21
2023-05-28,17
2023-06-04,19
2023-06-11,20
2023-06-18,16
2023-06-25,13
2023-07-02,13
2023-07-09,14
2023-07-16,13
2023-07-23,17
2023-07-30,15
2023-08-06,17
2023-08-13,14
2023-08-20,16
2023-08-27,15
2023-09-03,15
2023-09-10,19
2023-09-17,17
2023-09-24,19
2023-10-01,28
2023-10-08,100
2023-10-15,58
2023-10-22,47
2023-10-29,49
2023-11-05,45
2023-11-12,42
2023-11-19,27
2023-11-26,28
2023-12-03,32
2023-12-10,26
2023-12-17,19
2023-12-24,18
2023-12-31,19
2024-01-07,27
2024-01-14,28
2024-01-21,29
2024-01-28,30
2024-02-04,22
2024-02-11,24
2024-02-18,25
2024-02-25,30
2024-03-03,24
2024-03-10,18
2024-03-17,22
2024-03-24,26
2024-03-31,21
2024-04-07,31
2024-04-14,47
2024-04-21,42
2024-04-28,37
2024-05-05,33
2024-05-12,33
2024-05-19,25
2024-05-26,26
2024-06-02,17
2024-06-09,17
2024-06-16,18
2024-06-23,18
2024-06-30,11
2024-07-07,19
2024-07-14,12
2024-07-21,20
2024-07-28,16
2024-08-04,19
2024-08-11,15
2024-08-18,17
2024-08-25,21
2024-09-01,15
2024-09-08,20
2024-09-15,15
2024-09-22,26
2024-09-29,41
2024-10-06,33
2024-10-13,18
2024-10-20,20
2024-10-27,29
2024-11-03,23
2024-11-10,33
2024-11-17,18
2024-11-24,16
2024-12-01,29
2024-12-08,27
2024-12-15,24
2024-12-22,11
2024-12-29,12
2025-01-05,23
2025-01-12,22
2025-01-19,17
2025-01-26,27
2025-02-02,23
2025-02-09,27
2025-02-16,44
2025-02-23,27
2025-03-02,27
2025-03-09,33
2025-03-16,25
2025-03-23,32
2025-03-30,25
2025-04-06,22
2025-04-13,29
2025-04-20,36
2025-04-27,32
2025-05-04,57
2025-05-11,47
2025-05-18,29
2025-05-25,17
2025-06-01,22
2025-06-08,32
2025-06-15,83
2025-06-22,92
2025-06-29,21
2025-07-06,19
2025-07-13,20
2025-07-20,38
2025-07-27,88
