Price,Close,High,Low,Open,Volume
Ticker,LLY,LLY,LLY,LLY,LLY
Date,,,,,
2020-08-27,140.85328674316406,142.71595133704417,140.8249224642648,142.37556556284767,3146100
2020-08-28,139.31207275390625,141.02345131936343,138.97168703063167,140.73034419631648,2102600
2020-08-31,140.30487060546875,140.6830705658438,139.01897054182845,139.32154205205143,4430700
2020-09-01,139.2742919921875,141.0707638132326,138.65969889637245,140.51291370776568,2358700
2020-09-02,141.4016876220703,141.82716623529512,138.52731564035463,138.7920585298014,2406800
2020-09-03,140.90054321289062,145.01352170853238,139.42554323225204,143.89782177404018,4226100
2020-09-04,142.68756103515625,144.26656812466317,139.88883246580932,140.664161087401,4361800
2020-09-08,141.1747283935547,143.0657568672261,140.40886417010213,142.72537116486916,4351200
2020-09-09,143.68980407714844,145.72265397694048,142.12024693389725,142.41335404780745,2328500
2020-09-10,138.2530975341797,142.3944546481743,137.7803403997932,141.71368322046553,3961300
2020-09-11,140.02120971679688,141.0612812214155,138.87714548911967,139.52008829022697,3001400
2020-09-14,140.88160705566406,142.30932821518266,139.43497157364698,140.96669986580605,3072500
2020-09-15,141.90280151367188,143.59526592527845,141.27875855311785,141.78934440353646,2923500
2020-09-16,142.73486328125,144.36113481146265,142.57411313363215,143.45344904703722,3618800
2020-09-17,144.1625518798828,144.3611017834354,141.31655931888204,141.95005210445757,3620700
2020-09-18,145.7699737548828,146.0819952819194,143.75602318374055,143.75602318374055,13209800
2020-09-21,142.94287109375,145.28775737437076,140.93838502788938,144.82445008876456,3501600
2020-09-22,141.69476318359375,143.3115988660769,141.02344173176917,142.6875560112657,2926400
2020-09-23,141.6475067138672,143.3305211531573,140.59798517679036,141.87443535853942,3545700
2020-09-24,140.70201110839844,141.5057042081982,139.34046791351273,141.1274897499486,3424200
2020-09-25,142.0729522705078,142.20532367560938,139.79427411321674,140.3048454107796,2440600
2020-09-28,140.03065490722656,143.3210401922956,139.84154053055025,142.7726402402172,2427100
2020-09-29,138.29090881347656,140.35213737777977,137.97888738013424,139.91719447534433,3308300
2020-09-30,139.95498657226562,140.36155066784804,137.156258779159,138.42324407887,5083900
2020-10-01,136.4282684326172,140.6074548381423,136.2108041570951,140.24815474409323,3809200
2020-10-02,137.29815673828125,138.933892662626,135.46385643556386,135.8420564366291,3880000
2020-10-05,138.64076232910156,139.4349908550563,136.32424082062937,137.16576237307055,2790600
2020-10-06,136.27696228027344,139.77536183255748,136.08784790387864,138.92439042098482,2409200
2020-10-07,140.84381103515625,141.72313237503386,138.84877536212983,140.42778245084324,4602800
2020-10-08,145.13645935058594,145.5524879919626,142.29991617109567,144.0963877471443,4686100
2020-10-09,148.33226013183594,148.5875385571434,145.6753677564022,145.6942676511209,4590600
2020-10-12,146.072509765625,148.5875668450789,146.00631683930612,148.28500977057308,3242700
2020-10-13,141.90280151367188,145.92123767488675,140.4561656498269,144.66370180373565,5963900
2020-10-14,140.3710479736328,142.39444783489543,139.66191230598375,142.1864335515262,2710200
2020-10-15,138.78260803222656,138.9055295259157,137.4588935902102,138.5273150943358,3785900
2020-10-16,138.1585235595703,140.29539478105198,138.04506647786368,139.09458776585308,2918900
2020-10-19,135.0194091796875,139.37822952580518,134.46155935295258,138.99056530286077,3158900
2020-10-20,135.76638793945312,136.2675093386635,134.36703088660542,135.54892370123414,2188700
2020-10-21,133.6106414794922,135.52058466325673,133.5160986931585,134.53724157903125,1983700
2020-10-22,133.93211364746094,134.50887802861814,133.12843503595028,133.81865653228422,3056600
2020-10-23,134.62237548828125,136.81596189263044,133.99833237985982,134.49000401928956,2427200
2020-10-26,133.9793701171875,134.53722007783998,132.41927733166028,134.16847008703886,2947100
2020-10-27,124.71332550048828,128.6655826214993,124.68496122679466,125.77231128552714,11374600
2020-10-28,124.15550231933594,126.79349576088974,123.20998785259525,123.35182367904983,6188000
2020-10-29,125.32792663574219,125.87632667540596,123.27616228224701,124.80789087162967,4099900
2020-10-30,123.35179901123047,125.84795612714966,122.16990616415883,124.58095603026264,4335300
2020-11-02,124.45805358886719,126.65163929192975,122.90741069324251,125.31846064853808,3449500
2020-11-03,123.84343719482422,126.76508683284005,123.578694391575,126.35850825309257,3628400
2020-11-04,140.4939727783203,143.69926582432558,127.55934348989673,127.55934348989673,12211700
2020-11-05,137.59124755859375,140.70198331593235,136.81591889288538,139.6335475201062,5731000
2020-11-06,134.96270751953125,139.3593429550601,131.5210362704719,137.14684310082245,6229800
2020-11-09,134.5750732421875,136.8632164772192,132.93933728527668,134.77362319710787,5493800
2020-11-10,138.5745849609375,141.07074234229526,135.955506093644,139.55792799361433,5377000
2020-11-11,136.8726348876953,139.70917758073676,135.5583706836822,139.70917758073676,3046800
2020-11-12,134.03103637695312,136.3404491592958,132.91910226009702,135.83673837837065,3463400
2020-11-13,135.31405639648438,136.10286740031148,134.30666375352342,135.3615634255962,2142700
2020-11-16,133.61285400390625,137.138742035243,133.05213776085324,135.9602750230953,4957600
2020-11-17,134.19261169433594,134.91490417002063,131.73115007696984,132.64351417726905,3619200
2020-11-18,133.21368408203125,135.35202176555828,133.17567557055307,134.85782410715905,2795100
2020-11-19,136.29293823242188,136.7491130206148,132.02576003204413,133.28975733195384,4626100
2020-11-20,138.26974487304688,139.79033266290676,135.75124823426495,135.75124823426495,5063800
2020-11-23,136.26443481445312,138.3932602634861,134.154606377261,138.31722871151553,3794200
2020-11-24,137.70899963378906,138.41228065849313,136.00783886658678,136.2739420647912,4127000
2020-11-25,137.56639099121094,138.1271071701515,135.53259484090125,137.70894103618548,3223700
2020-11-27,140.1229248046875,140.57909954778856,138.14614824920477,138.42174989566297,1754000
2020-11-30,138.42173767089844,140.8166802383526,137.70895835333144,139.07749696330526,5842200
2020-12-01,138.3362274169922,140.71215881533718,138.05111274888392,139.41015304953513,3954400
2020-12-02,137.95606994628906,139.7902818356444,137.21478058668575,138.14614153821992,3757400
2020-12-03,136.95816040039062,139.2295497444886,136.02679955467877,138.4692489616186,4059600
2020-12-04,141.0828094482422,141.33941411045112,136.85365428218986,136.9201873248694,3058600
2020-12-07,140.10391235351562,140.9687548097707,139.21055988235398,139.98987229388936,2637200
2020-12-08,141.89059448242188,142.68890377451908,139.61920515035146,139.6857236739273,2754400
2020-12-09,150.1588592529297,151.05221174847736,146.05324297591076,146.91808545577362,8364400
2020-12-10,153.00994873046875,153.9603210828319,150.32989173606964,151.93602333180837,6430600
2020-12-11,152.09762573242188,153.18104992497314,151.16626463744785,151.79351403880256,3441900
2020-12-14,150.07333374023438,154.23595567285966,149.9973021955997,152.71536828476889,4390100
2020-12-15,159.1208953857422,159.8811964517139,150.20640925437252,151.51791372909858,6974300
2020-12-16,163.5115966796875,164.59502078377898,158.4746193706,161.2687169289238,6009900
2020-12-17,164.06280517578125,165.26976777922246,162.60873644759366,163.2074612464436,3521100
2020-12-18,162.89382934570312,164.30988949255595,160.61294130529419,163.95825633255546,7356400
2020-12-21,160.40390014648438,160.61298329669765,157.57179361387216,160.4989432153218,3655900
2020-12-22,158.44613647460938,160.03325713110922,157.6383138852633,159.38701066086153,2447900
2020-12-23,157.2676239013672,159.66256645867637,157.25812539772483,159.1398587277016,1697300
2020-12-24,158.38909912109375,159.60557487456828,157.61929964445352,157.61929964445352,627200
2020-12-28,158.237060546875,159.28247635710883,157.01108609808904,158.91183157012358,1482000
2020-12-29,158.31309509277344,159.42502947470763,157.67634708781304,158.3606166307783,1712000
2020-12-30,158.72164916992188,160.03316739078846,158.4080246170395,159.13031673938497,1413300
2020-12-31,160.46090698242188,160.74602166393498,158.03745394186305,158.7787579144112,1643600
2021-01-04,157.28665161132812,161.06913016970887,155.00576337044805,160.63196693261483,3164800
2021-01-05,158.06594848632812,158.38907163005067,155.10077666304556,156.99202300694935,2322600
2021-01-06,156.16522216796875,158.97831675532174,154.88221344300166,154.89171194781497,3619700
2021-01-07,157.6002655029297,158.82623958570542,153.75125417086096,156.03214225573655,3025500
2021-01-08,158.15147399902344,158.57913867718827,156.46931079660772,157.9709009234238,3438100
2021-01-11,176.71226501464844,179.90551719551215,172.98680655389634,175.8189125441786,11396500
2021-01-12,169.9266357421875,175.09666537037415,168.63412833514084,173.718613402139,7179300
2021-01-13,176.29408264160156,178.3088675170153,170.43978509615425,170.90547279915535,7303900
2021-01-14,177.42506408691406,179.58241396238668,175.4197773087292,176.07553672693936,4413200
2021-01-15,181.3026123046875,182.26248355489312,177.52963135356123,177.52963135356123,6624600
2021-01-19,188.6299285888672,189.6183241036964,184.4387969105999,186.27300886367453,7729100
2021-01-20,191.27198791503906,191.75668723129522,188.82002481994164,188.905569376745,5335800
2021-01-21,192.30787658691406,194.56025471767887,188.18324901416722,193.59087073038017,8698800
2021-01-22,195.9097900390625,196.28993324518058,190.60670965497278,192.0132569194502,6128800
2021-01-25,201.8116455078125,201.9827056304153,197.7630485877774,197.9056131914827,5959100
2021-01-26,202.16323852539062,202.6479232778373,200.1484534742004,202.00167694124173,6601500
2021-01-27,197.26882934570312,201.49798412527835,194.92140808011783,200.59513313886873,7358000
