ETF,Ticker
XLK,NVDA
XLK,MSFT
XLK,AAPL
XLK,AVGO
XLK,ORCL
XLK,PLTR
XLK,CSCO
XLK,AMD
XLK,IBM
XLK,CRM
XLK,NOW
XLK,INTU
XLK,QCOM
XLK,MU
XLK,TXN
XLK,LRCX
XLK,ACN
XLK,ADBE
XLK,APH
XLK,ANET
XLK,AMAT
XLK,PANW
XLK,KLAC
XLK,ADI
XLK,CRWD
XLV,LLY
XLV,JNJ
XLV,ABBV
XLV,UNH
XLV,ABT
XLV,MRK
XLV,TMO
XLV,ISRG
XLV,BSX
XLV,AMGN
XLV,GILD
XLV,PFE
XLV,SYK
XLV,DHR
XLV,MDT
XLV,VRTX
XLV,CVS
XLV,BMY
XLV,MCK
XLV,CI
XLV,ELV
XLV,HCA
XLV,ZTS
XLV,REGN
XLV,BDX
XLF,JPM
XLF,V
XLF,MA
XLF,BAC
XLF,WFC
XLF,GS
XLF,MS
XLF,C
XLF,AXP
XLF,SPGI
XLF,BLK
XLF,SCHW
XLF,PGR
XLF,COF
XLF,BX
XLF,CB
XLF,ICE
XLF,MMC
XLF,KKR
XLF,CME
XLF,AON
XLF,MCO
XLF,PNC
XLF,AJG
XLY,AMZN
XLY,TSLA
XLY,HD
XLY,MCD
XLY,BKNG
XLY,TJX
XLY,LOW
XLY,SBUX
XLY,ORLY
XLY,DASH
XLY,NKE
XLY,RCL
XLY,AZO
XLY,HLT
XLY,MAR
XLY,GM
XLY,ABNB
XLY,CMG
XLY,DHI
XLY,ROST
XLY,F
XLY,EBAY
XLY,YUM
XLY,GRMN
XLY,CCL
XLP,WMT
XLP,COST
XLP,PG
XLP,KO
XLP,PM
XLP,PEP
XLP,MO
XLP,MDLZ
XLP,CL
XLP,MNST
XLP,KMB
XLP,TGT
XLP,KR
XLP,SYY
XLP,KDP
XLP,KVUE
XLP,ADM
XLP,GIS
XLP,HSY
XLP,CHD
XLP,DG
XLP,KHC
XLP,STZ
XLP,K
XLP,EL
XLI,GE
XLI,RTX
XLI,CAT
XLI,UBER
XLI,GEV
XLI,BA
XLI,ETN
XLI,HON
XLI,UNP
XLI,ADP
XLI,DE
XLI,PH
XLI,LMT
XLI,TT
XLI,MMM
XLI,GD
XLI,WM
XLI,NOC
XLI,EMR
XLI,HWM
XLI,TDG
XLI,ITW
XLI,JCI
XLI,CTAS
XLI,URI
XLE,XOM
XLE,CVX
XLE,COP
XLE,WMB
XLE,EOG
XLE,MPC
XLE,SLB
XLE,KMI
XLE,PSX
XLE,VLO
XLE,BKR
XLE,OKE
XLE,TRGP
XLE,OXY
XLE,EQT
XLE,FANG
XLE,DVN
XLE,EXE
XLE,HAL
XLE,CTRA
XLE,TPL
XLE,APA
XLU,NEE
XLU,SO
XLU,CEG
XLU,DUK
XLU,VST
XLU,AEP
XLU,SRE
XLU,D
XLU,EXC
XLU,XEL
XLU,PEG
XLU,ETR
XLU,ED
XLU,WEC
XLU,PCG
XLU,NRG
XLU,DTE
XLU,AWK
XLU,AEE
XLU,PPL
XLU,ATO
XLU,CNP
XLU,ES
XLU,FE
XLU,EIX
XLB,LIN
XLB,NEM
XLB,SHW
XLB,MLM
XLB,VMC
XLB,ECL
XLB,FCX
XLB,APD
XLB,NUE
XLB,DD
XLB,CTVA
XLB,PPG
XLB,IP
XLB,SW
XLB,PKG
XLB,AMCR
XLB,STLD
XLB,DOW
XLB,IFF
XLB,LYB
XLB,BALL
XLB,CF
XLB,AVY
XLB,MOS
XLB,ALB
XLC,META
XLC,GOOGL
XLC,GOOG
XLC,NFLX
XLC,WBD
XLC,EA
XLC,TTWO
XLC,TMUS
XLC,T
XLC,VZ
XLC,DIS
XLC,CMCSA
XLC,LYV
XLC,CHTR
XLC,OMC
XLC,TKO
XLC,FOXA
XLC,NWSA
XLC,IPG
XLC,MTCH
XLC,FOX
XLC,PSKY
XLC,NWS
XLC,TTD
XLRE,PLD
XLRE,WELL
XLRE,AMT
XLRE,EQIX
XLRE,SPG
XLRE,DLR
XLRE,O
XLRE,CBRE
XLRE,PSA
XLRE,CCI
XLRE,CSGP
XLRE,VICI
XLRE,EXR
XLRE,VTR
XLRE,IRM
XLRE,AVB
XLRE,EQR
XLRE,SBAC
XLRE,WY
XLRE,INVH
XLRE,ESS
XLRE,MAA
XLRE,KIM
XLRE,ARE
XLRE,DOC
IBB,GILD
IBB,AMGN
IBB,ALNY
IBB,REGN
IBB,VRTX
IBB,IQV
IBB,INSM
IBB,ARGX
IBB,MTD
IBB,NTRA
IBB,BIIB
IBB,ONC
IBB,UTHR
IBB,WAT
IBB,INCY
IBB,BNTX
IBB,ILMN
IBB,NBIX
IBB,GMAB
IBB,MEDP
IBB,BMRN
IBB,EXEL
IBB,IONS
IBB,HALO
IBB,MDGL
KBE,RKT
KBE,COOP
KBE,TBBK
KBE,PFSI
KBE,AX
KBE,C
KBE,CFG
KBE,WD
KBE,RF
KBE,WAL
KBE,VLY
KBE,CADE
KBE,CMA
KBE,NTRS
KBE,ABCB
KBE,BANC
KBE,ZION
KBE,JXN
KBE,KEY
KBE,BPOP
KBE,BK
KBE,FIBK
KBE,FNB
KBE,EWBC
KBE,BOKF
KRE,CFG
KRE,RF
KRE,WAL
KRE,ZION
KRE,EWBC
KRE,VLY
KRE,WBS
KRE,SSB
KRE,FHN
KRE,TFC
KRE,HBAN
KRE,MTB
KRE,BPOP
KRE,UMBF
KRE,SNV
KRE,ONB
KRE,FLG
KRE,WTFC
KRE,OZK
KRE,CFR
KRE,AUB
KRE,COLB
KRE,PB
KRE,CADE
KRE,PNFP
IYT,UBER
IYT,UNP
IYT,UAL
IYT,DAL
IYT,NSC
IYT,UPS
IYT,FDX
IYT,CSX
IYT,ODFL
IYT,LUV
IYT,EXPD
IYT,XPO
IYT,CHRW
IYT,JBHT
IYT,AAL
IYT,SAIA
IYT,R
IYT,ALK
IYT,LYFT
IYT,KNX
IYT,JOBY
IYT,GXO
IYT,KEX
IYT,LSTR
IYT,SKYW
ITB,DHI
ITB,LEN
ITB,PHM
ITB,NVR
ITB,TOL
ITB,LOW
ITB,HD
ITB,BLD
ITB,SHW
ITB,LII
ITB,TMHC
ITB,BLDR
ITB,MAS
ITB,IBP
ITB,OC
ITB,MTH
ITB,KBH
ITB,CVCO
ITB,MHO
ITB,FND
ITB,SKY
ITB,SSD
ITB,EXP
ITB,TPH
ITB,FBIN
ICLN,FSLR
ICLN,BE
ICLN,NXT
ICLN,ORA
ICLN,ENPH
ICLN,RUN
ICLN,CWEN
TAN,FSLR
TAN,NXT
TAN,ENPH
TAN,RUN
TAN,HASI
TAN,DQ
TAN,SEDG
TAN,SHLS
TAN,CWEN
TAN,JKS
TAN,ARRY
TAN,FGSGF
TAN,CSIQ
PHO,FERG
PHO,XYL
PHO,ECL
PHO,AWK
PHO,ROP
PHO,ACM
PHO,AOS
PHO,PNR
PHO,VLTO
PHO,WMS
PHO,MLI
PHO,IEX
PHO,CNM
PHO,WAT
PHO,TTEK
PHO,WTRG
PHO,MWA
PHO,ITRI
PHO,VMI
PHO,WTS
PHO,ZWS
PHO,BMI
PHO,FELE
PHO,SBS
PHO,CWT
EIS,TEVA
EIS,CYBR
EIS,CHKP
EIS,WIX
EIS,NVMI
EIS,MNDY
EIS,TSEM
EIS,GLBE
ISRA,CYBR
ISRA,TEVA
ISRA,CHKP
ISRA,WIX
ISRA,DOX
ISRA,MNDY
ISRA,VRNS
ISRA,S
ISRA,FROG
ISRA,NVMI
ISRA,TSEM
ISRA,ORA
ISRA,GLBE
FRDM,TSM
SHE,NVDA
SHE,MSFT
SHE,AMD
SHE,JPM
SHE,NOW
SHE,INTU
SHE,DIS
SHE,ACN
SHE,MU
SHE,VZ
SHE,ADBE
SHE,LLY
SHE,T
SHE,ADI
SHE,V
SHE,JNJ
SHE,TJX
SHE,COST
SHE,TMUS
SHE,CVX
SHE,ABBV
SHE,BAC
SHE,PG
SHE,BKNG
SHE,TEL
SPY,NVDA
SPY,MSFT
SPY,AAPL
SPY,AMZN
SPY,AVGO
SPY,META
SPY,GOOGL
SPY,GOOG
SPY,TSLA
SPY,JPM
SPY,LLY
SPY,V
SPY,NFLX
SPY,XOM
SPY,ORCL
SPY,MA
SPY,WMT
SPY,COST
SPY,JNJ
SPY,HD
SPY,ABBV
SPY,PG
SPY,PLTR
SPY,BAC
QQQ,NVDA
QQQ,MSFT
QQQ,AAPL
QQQ,AVGO
QQQ,AMZN
QQQ,META
QQQ,GOOGL
QQQ,TSLA
QQQ,GOOG
QQQ,NFLX
QQQ,COST
QQQ,PLTR
QQQ,TMUS
QQQ,CSCO
QQQ,AMD
QQQ,LIN
QQQ,PEP
QQQ,INTU
QQQ,BKNG
QQQ,QCOM
QQQ,SHOP
QQQ,APP
QQQ,MU
QQQ,TXN
QQQ,ISRG
IWM,CRDO
IWM,FN
IWM,BE
IWM,SATS
IWM,KTOS
IWM,IONQ
IWM,NXT
IWM,CDE
IWM,ENSG
IWM,XTSLA
IWM,HIMS
IWM,SPXC
IWM,STRL
IWM,GTLS
IWM,UMBF
IWM,RMBS
IWM,BBIO
IWM,MOD
IWM,AVAV
IWM,CVLT
IWM,HQY
IWM,IDCC
IWM,WTS
IWM,OKLO
DIA,GS
DIA,MSFT
DIA,CAT
DIA,HD
DIA,SHW
DIA,UNH
DIA,V
DIA,AXP
DIA,MCD
DIA,JPM
DIA,AMGN
DIA,TRV
DIA,IBM
DIA,CRM
DIA,AAPL
DIA,AMZN
DIA,BA
DIA,HON
DIA,JNJ
DIA,NVDA
DIA,MMM
DIA,PG
DIA,CVX
DIA,DIS
DIA,WMT
